sample_order,universe_record_id,dependency_group,taxon_raw,source_status,primary_citation,doi,evidence_surface,taxon_reconciliation,screen_ready,notes
1,U1_001,Aechmea_pectinata,Aechmea pectinata,RESOLVED_PRIMARY,Canela & Sazima 2003 Biotropica 35:289-294,10.1111/j.1744-7429.2003.tb00287.x,florivory_by_crab_changes_hummingbird_visitation,CLEAR,true,Primary source directly links floral damage and hummingbird visits.
2,U1_002,Alstroemeria_aurea,Alstroemeria aurea,RESOLVED_PRIMARY,Aizen & Raffaele 1998 Ecology 79:2133-2142,10.1890/0012-9658(1998)079[2133:FSDAPG]2.0.CO;2,flowering_shoot_defoliation_changes_pollen_performance,CLEAR,true,Primary source resolves herbivory-to-male-reproductive-performance route; full BALANCE conflict still requires coding.
3,U1_044,Alstroemeria_ligtu,Alstroemeria ligtu,RESOLVED_PRIMARY,Botto-Mahan et al. 2011 International Journal of Plant Sciences 172:1130-1136,10.1086/662029,floral_damage_to_nectar_guides_changes_pollinator_visitation_and_female_success,TAXON_GRAIN_CONFLICT_WITH_VAR_SIMSIi,false,Title reports A. ligtu while study material is described as var. simsii; do not double-code until supplement-level taxon grain is reconciled.
4,U1_003,Alstroemeria_ligtu_var_Simsii,Alstroemeria ligtu var. Simsii,RESOLVED_PRIMARY,Botto-Mahan et al. 2011 International Journal of Plant Sciences 172:1130-1136,10.1086/662029,same_primary_source_as_generic_A_ligtu_label,TAXON_GRAIN_CONFLICT_WITH_GENERIC_LABEL,false,Likely duplicate source/taxon grain with generic A. ligtu U1 label; preserve both review labels until supplement reconciliation.
5,U1_004,Alstroemeria_umbellata,Alstroemeria umbellata,RESOLVED_PRIMARY,Valdivia & Niemeyer 2005 New Zealand Journal of Ecology 29:321-324,,aphid_herbivory_x_pollinator_exclusion_factorial_reproductive_success,CLEAR,true,Primary study uses herbivore and pollinator exclusions in a factorial field design.
6,U1_005,Aristotelia_chilensis,Aristotelia chilensis,RESOLVED_PRIMARY,Vázquez & Simberloff 2004 Ecological Monographs 74:281-308,10.1890/02-4055,introduced_ungulate_grazing_x_pollinator_visitation_x_pollination_x_reproduction,CLEAR,true,"Primary multi-species field study explicitly includes Aristotelia chilensis among 11 animal-pollinated understory plants and compares grazing, pollinator visitation, pollen deposition and reproduction."
7,U1_006,Berberis_darwinii,Berberis darwinii,RESOLVED_PRIMARY,Vázquez & Simberloff 2004 Ecological Monographs 74:281-308,10.1890/02-4055,introduced_ungulate_grazing_x_pollinator_visitation_x_pollination_x_reproduction,CLEAR,true,Primary multi-species field study explicitly includes Berberis darwinii and reports pollinator-dependence experiments plus grazing-site comparisons.
8,U1_007,Bouvardia_ternifolia,Bouvardia ternifolia,RESOLVED_PRIMARY,"Salinas-Esquivel, Lara & Arizmendi 2018 Botanical Sciences 96:1-10",10.17129/botsci.1031,nectar_larceny_foliar_herbivory_seed_predation_x_pollinator_context_x_reproduction,CLEAR,true,"Primary field study measures floral larceny, foliar herbivory, seed predation, pollinator-related floral-morph context, fruit and seed production."
9,U1_008,Brassica_napus,Brassica napus,SOURCE_RESOLUTION_PENDING,,,,UNRESOLVED,false,Exact review-linked primary source not yet resolved.
10,U1_009,Brassica_nigra,Brassica nigra,RESOLVED_PRIMARY,Bruinsma et al. 2014 Journal of Chemical Ecology 40:39-49,10.1007/s10886-013-0369-x,folivory_changes_nectar_floral_odor_and_pollinator_behavior,CLEAR,true,Primary experiment directly links Pieris folivory to floral chemistry and pollinator behaviour.
11,U1_010,Calyptrogyne_ghiesbreghtiana,Calyptrogyne ghiesbreghtiana,RESOLVED_PRIMARY,Cunningham 1995 American Journal of Botany 82:1527-1536,10.1002/j.1537-2197.1995.tb13855.x,floral_herbivory_pollen_availability_pollinating_bat_visitation,CLEAR,true,"Primary source explicitly integrates floral herbivory, pollen availability and bat visitation."
12,U1_011,Cardus_thoermeri,Cardus thoermeri,RESOLVED_PRIMARY,"Chalcoff, Lescano & Devegili 2019 Plant Ecology 220:125-134",10.1007/s11258-019-00907-2,aphids_x_ants_x_pollinator_access_x_reproductive_output,CLEAR,true,"Primary study manipulates/compares aphids and ants with versus without pollinator access and measures viable seeds, seed weight and germination."
