cluster_id,coder_id,conflict_status,architecture_mode,module_substrate,conflict_timing_geometry,conflict_spatial_geometry,notes
Narcissus_assoanus,CODER_A,,,,,,
Narcissus_assoanus,CODER_B,,,,,,
Narcissus_dubius,CODER_A,,,,,,
Narcissus_dubius,CODER_B,,,,,,
Pontederia_cordata,CODER_A,,,,,,
Pontederia_cordata,CODER_B,,,,,,
Campsis_radicans,CODER_A,,,,,,
Campsis_radicans,CODER_B,,,,,,
Asclepias_exaltata,CODER_A,,,,,,
Asclepias_exaltata,CODER_B,,,,,,
Mimulus_aurantiacus,CODER_A,,,,,,
Mimulus_aurantiacus,CODER_B,,,,,,
Polemonium_viscosum,CODER_A,,,,,,
Polemonium_viscosum,CODER_B,,,,,,
Eichhornia_paniculata,CODER_A,,,,,,
Eichhornia_paniculata,CODER_B,,,,,,
Wahlenbergia_albomarginata,CODER_A,,,,,,
Wahlenbergia_albomarginata,CODER_B,,,,,,
Pseudowintera_colorata,CODER_A,,,,,,
Pseudowintera_colorata,CODER_B,,,,,,
Narcissus_triandrus,CODER_A,,,,,,
Narcissus_triandrus,CODER_B,,,,,,
Pontederia_sagittata,CODER_A,,,,,,
Pontederia_sagittata,CODER_B,,,,,,
Epilobium_obcordatum,CODER_A,,,,,,
Epilobium_obcordatum,CODER_B,,,,,,
Turnera_ulmifolia,CODER_A,,,,,,
Turnera_ulmifolia,CODER_B,,,,,,
Ipomopsis_aggregata,CODER_A,,,,,,
Ipomopsis_aggregata,CODER_B,,,,,,
Alpinia_kwangsiensis,CODER_A,,,,,,
Alpinia_kwangsiensis,CODER_B,,,,,,
Wachendorfia_paniculata,CODER_A,,,,,,
Wachendorfia_paniculata,CODER_B,,,,,,
Wachendorfia_brachyandra,CODER_A,,,,,,
Wachendorfia_brachyandra,CODER_B,,,,,,
Wachendorfia_parviflora,CODER_A,,,,,,
Wachendorfia_parviflora,CODER_B,,,,,,
Wachendorfia_thyrsiflora,CODER_A,,,,,,
Wachendorfia_thyrsiflora,CODER_B,,,,,,
